k,n,t,width,height,time
256,50,32,5120,2880,43.185627
256,50,32,5120,2880,42.893644
16,50,64,5120,2880,2.155166
16,50,64,5120,2880,2.191552
32,50,64,5120,2880,3.974338
32,50,64,5120,2880,2.955347
64,50,64,5120,2880,6.995232
64,50,64,5120,2880,6.972569
128,50,64,5120,2880,12.476013
128,50,64,5120,2880,12.523952
256,50,64,5120,2880,22.746581
256,50,64,5120,2880,22.781026
16,50,2,3840,2160,17.094123
16,50,2,3840,2160,17.378720
32,50,2,3840,2160,33.804761
32,50,2,3840,2160,34.339957
64,50,2,3840,2160,59.294642
64,50,2,3840,2160,60.109899
128,50,2,3840,2160,108.215100
128,50,2,3840,2160,109.575056
256,50,2,3840,2160,203.995133
256,50,2,3840,2160,204.634708
16,50,4,3840,2160,9.012710
16,50,4,3840,2160,8.715029
32,50,4,3840,2160,17.686057
32,50,4,3840,2160,17.913188
64,50,4,3840,2160,33.139202
64,50,4,3840,2160,32.435377
128,50,4,3840,2160,58.352970
128,50,4,3840,2160,59.913179
256,50,4,3840,2160,108.672452
256,50,4,3840,2160,108.186551
16,50,8,3840,2160,4.941975
16,50,8,3840,2160,5.171219
32,50,8,3840,2160,9.875172
32,50,8,3840,2160,9.548643
64,50,8,3840,2160,16.834613
64,50,8,3840,2160,16.829239
128,50,8,3840,2160,30.235977
128,50,8,3840,2160,30.259192
256,50,8,3840,2160,60.901831
256,50,8,3840,2160,62.971846
16,50,16,3840,2160,2.389946
16,50,16,3840,2160,2.402162
32,50,16,3840,2160,4.912799
32,50,16,3840,2160,4.963166
64,50,16,3840,2160,8.578256
64,50,16,3840,2160,8.757545
128,50,16,3840,2160,15.406562
128,50,16,3840,2160,15.405866
256,50,16,3840,2160,29.010431
256,50,16,3840,2160,28.987082
16,50,32,3840,2160,2.279407
16,50,32,3840,2160,2.324529
32,50,32,3840,2160,4.364398
32,50,32,3840,2160,4.368097
64,50,32,3840,2160,7.509974
64,50,32,3840,2160,7.530853
128,50,32,3840,2160,13.277961
128,50,32,3840,2160,13.440079
256,50,32,3840,2160,24.378754
256,50,32,3840,2160,24.556534
16,50,64,3840,2160,1.498997
16,50,64,3840,2160,1.433818
32,50,64,3840,2160,2.405236
32,50,64,3840,2160,2.483613
64,50,64,3840,2160,4.147875
64,50,64,3840,2160,3.967168
128,50,64,3840,2160,7.073390
128,50,64,3840,2160,7.148414
